Series ID,Year,Period,Label,Value, City
LAUCT262200000000003,1995,M10,1995 Oct,9.2, Detroit
LAUCT262200000000003,1995,M11,1995 Nov,8.4, Detroit
LAUCT262200000000003,1995,M12,1995 Dec,7.9, Detroit
LAUCT262200000000003,1996,M01,1996 Jan,10.5, Detroit
LAUCT262200000000003,1996,M02,1996 Feb,8.7, Detroit
LAUCT262200000000003,1996,M03,1996 Mar,9.0, Detroit
LAUCT262200000000003,1996,M04,1996 Apr,8.1, Detroit
LAUCT262200000000003,1996,M05,1996 May,9.6, Detroit
LAUCT262200000000003,1996,M06,1996 Jun,10.3, Detroit
LAUCT262200000000003,1996,M07,1996 Jul,11.6, Detroit
LAUCT262200000000003,1996,M08,1996 Aug,9.9, Detroit
LAUCT262200000000003,1996,M09,1996 Sep,9.7, Detroit
LAUCT262200000000003,1996,M10,1996 Oct,9.7, Detroit
LAUCT262200000000003,1996,M11,1996 Nov,9.4, Detroit
LAUCT262200000000003,1996,M12,1996 Dec,9.3, Detroit
LAUCT262200000000003,1997,M01,1997 Jan,10.7, Detroit
LAUCT262200000000003,1997,M02,1997 Feb,9.2, Detroit
LAUCT262200000000003,1997,M03,1997 Mar,9.4, Detroit
LAUCT262200000000003,1997,M04,1997 Apr,7.9, Detroit
LAUCT262200000000003,1997,M05,1997 May,7.6, Detroit
LAUCT262200000000003,1997,M06,1997 Jun,9.2, Detroit
LAUCT262200000000003,1997,M07,1997 Jul,10.1, Detroit
LAUCT262200000000003,1997,M08,1997 Aug,8.7, Detroit
LAUCT262200000000003,1997,M09,1997 Sep,8.9, Detroit
LAUCT262200000000003,1997,M10,1997 Oct,8.2, Detroit
LAUCT262200000000003,1997,M11,1997 Nov,7.1, Detroit
LAUCT262200000000003,1997,M12,1997 Dec,7.1, Detroit
LAUCT262200000000003,1998,M01,1998 Jan,8.9, Detroit
LAUCT262200000000003,1998,M02,1998 Feb,7.9, Detroit
LAUCT262200000000003,1998,M03,1998 Mar,8.2, Detroit
LAUCT262200000000003,1998,M04,1998 Apr,6.0, Detroit
LAUCT262200000000003,1998,M05,1998 May,6.8, Detroit
LAUCT262200000000003,1998,M06,1998 Jun,8.5, Detroit
LAUCT262200000000003,1998,M07,1998 Jul,10.9, Detroit
LAUCT262200000000003,1998,M08,1998 Aug,8.2, Detroit
LAUCT262200000000003,1998,M09,1998 Sep,9.3, Detroit
LAUCT262200000000003,1998,M10,1998 Oct,9.0, Detroit
LAUCT262200000000003,1998,M11,1998 Nov,7.7, Detroit
LAUCT262200000000003,1998,M12,1998 Dec,7.7, Detroit
LAUCT262200000000003,1999,M01,1999 Jan,9.2, Detroit
LAUCT262200000000003,1999,M02,1999 Feb,9.3, Detroit
